"Name","Total Population","Total (One Race)","White (One Race)","Black or African American (One Race)","American Indian and Alaska Native (One Race)","Asian (One Race)","Native Hawaiian and Other Pacific Islander (One Race)","Some Other Race (One Race)","Two or More Races"
"Illinois","12,812,508","11,667,524","7,868,227","1,808,271","96,498","754,878","4,501","1,135,149","1144984"
"Adams County","65,737","62,520","58,837","2,501","104","513","39","526","3217"
"Alexander County","5,240","4,978","3,311","1,617","24","6","0","20","262"
"Bond County","16,725","16,051","14,446","1,077","52","105","11","360","674"
"Boone County","53,448","47,368","38,766","1,245","498","659","24","6,176","6080"
"Brown County","6,244","6,066","4,779","1,054","11","12","0","210","178"
"Bureau County","33,244","31,192","29,358","275","147","300","21","1,091","2052"
"Calhoun County","4,437","4,271","4,227","7","10","7","0","20","166"
"Carroll County","15,702","15,097","14,117","694","63","40","5","178","605"
"Cass County","13,042","12,134","9,528","725","129","117","41","1,594","908"
"Champaign County","205,865","190,868","129,083","28,675","783","24,487","84","7,756","14997"
"Christian County","34,032","32,857","31,437","390","62","179","3","786","1175"
"Clark County","15,455","15,025","14,784","54","28","60","0","99","430"
"Clay County","13,288","12,781","12,524","38","40","79","3","97","507"
"Clinton County","36,899","35,317","33,085","1,151","106","180","5","790","1582"
"Coles County","46,863","44,597","40,838","2,083","114","623","26","913","2266"
"Cook County","5,275,541","4,728,989","2,345,983","1,205,824","56,894","413,271","1,864","705,153","546552"
"Crawford County","18,679","18,050","17,032","621","44","85","2","266","629"
"Cumberland County","10,450","10,092","9,984","28","22","23","5","30","358"
"DeKalb County","100,420","91,702","74,258","8,954","553","2,299","29","5,609","8718"
"De Witt County","15,516","14,941","14,526","110","28","40","18","219","575"
"Douglas County","19,740","18,871","17,855","67","60","105","7","777","869"
"DuPage County","932,877","850,219","616,830","45,516","5,154","119,672","315","62,732","82658"
"Edgar County","16,866","16,346","16,070","83","34","55","0","104","520"
"Edwards County","6,245","6,099","6,019","22","8","21","9","20","146"
"Effingham County","34,668","33,392","32,597","155","59","248","6","327","1276"
"Fayette County","21,488","20,910","19,778","797","82","67","1","185","578"
"Ford County","13,534","12,849","12,458","76","32","62","0","221","685"
"Franklin County","37,804","36,066","35,451","181","111","119","4","200","1738"
"Fulton County","33,609","32,541","30,803","1,125","63","69","6","475","1068"
"Gallatin County","4,946","4,777","4,700","26","5","24","0","22","169"
"Greene County","11,985","11,589","11,492","23","13","22","3","36","396"
