fyear,agency,state_cd,state_nm,cty_cd,cty_name,contracts,grants,direct_payments,spending_total
2020,Administrative Conference of the U.S.,11,DISTRICT OF COLUMBIA,11001,DISTRICT OF COLUMBIA,234001,0,0,234001
2021,Administrative Conference of the U.S.,11,DISTRICT OF COLUMBIA,11001,DISTRICT OF COLUMBIA,194608,0,0,194608
2022,Administrative Conference of the U.S.,11,DISTRICT OF COLUMBIA,11001,DISTRICT OF COLUMBIA,154771,0,0,154771
2023,Administrative Conference of the U.S.,11,DISTRICT OF COLUMBIA,11001,DISTRICT OF COLUMBIA,93328,0,0,93328
2020,Agency for International Development,2,ALASKA,2020,ANCHORAGE,7699802,0,0,7699803
2020,Agency for International Development,4,ARIZONA,4013,MARICOPA,8074,4458420,0,4466494
2020,Agency for International Development,4,ARIZONA,4019,PIMA,0,945977,0,945977
2020,Agency for International Development,6,CALIFORNIA,6001,ALAMEDA,22899,40678995,0,40701896
2020,Agency for International Development,6,CALIFORNIA,6023,HUMBOLDT,0,0,0,0
2020,Agency for International Development,6,CALIFORNIA,6037,LOS ANGELES,35006,10505106,0,10540112
2020,Agency for International Development,6,CALIFORNIA,6073,SAN DIEGO,68460,0,0,68460
2020,Agency for International Development,6,CALIFORNIA,6075,SAN FRANCISCO,0,6937970,0,6937970
2020,Agency for International Development,6,CALIFORNIA,6083,SANTA BARBARA,0,1902024,0,1902024
2020,Agency for International Development,6,CALIFORNIA,6085,SANTA CLARA,174142,0,0,174143
2020,Agency for International Development,6,CALIFORNIA,6087,SANTA CRUZ,0,1000000,0,1000000
2020,Agency for International Development,6,CALIFORNIA,6097,SONOMA,182056,0,0,182056
2020,Agency for International Development,6,CALIFORNIA,6113,YOLO,0,5819627,0,5819627
2020,Agency for International Development,8,COLORADO,8013,BOULDER,0,0,0,0
2020,Agency for International Development,8,COLORADO,8041,EL PASO,250000,0,0,250000
2020,Agency for International Development,8,COLORADO,8059,JEFFERSON,10584,0,0,10584
2020,Agency for International Development,9,CONNECTICUT,9001,FAIRFIELD,0,8736268,0,8736268
2020,Agency for International Development,10,DELAWARE,10005,SUSSEX,120501,0,0,120501
2020,Agency for International Development,11,DISTRICT OF COLUMBIA,11001,DISTRICT OF COLUMBIA,2570609065,119179155,102302388,2792090624
2020,Agency for International Development,12,FLORIDA,12071,LEE,249964,0,0,249964
2020,Agency for International Development,12,FLORIDA,12085,MARTIN,0,0,0,0
2020,Agency for International Development,12,FLORIDA,12086,MIAMI-DADE,872252,544846,0,1417098
2020,Agency for International Development,12,FLORIDA,12095,ORANGE,0,0,0,0
2020,Agency for International Development,12,FLORIDA,12099,PALM BEACH,0,410710,0,410710
2020,Agency for International Development,12,FLORIDA,12103,PINELLAS,36404,0,0,36404
2020,Agency for International Development,13,GEORGIA,13059,CLARKE,0,0,0,0
2020,Agency for International Development,13,GEORGIA,13089,DEKALB,0,0,0,0
2020,Agency for International Development,13,GEORGIA,13121,FULTON,908784,0,0,908784
2020,Agency for International Development,13,GEORGIA,13135,GWINNETT,0,0,0,0
2020,Agency for International Development,13,GEORGIA,13261,SUMTER,0,0,0,0
2020,Agency for International Development,17,ILLINOIS,17019,CHAMPAIGN,0,0,0,0
2020,Agency for International Development,17,ILLINOIS,17031,COOK,17178414,5016411,0,22194826
2020,Agency for International Development,17,ILLINOIS,17097,LAKE,7311892,0,0,7311892
2020,Agency for International Development,18,INDIANA,18141,ST. JOSEPH,0,8918366,0,8918366
2020,Agency for International Development,18,INDIANA,18157,TIPPECANOE,0,13822421,0,13822421
2020,Agency for International Development,20,KANSAS,20161,RILEY,0,6512032,0,6512032
2020,Agency for International Development,21,KENTUCKY,21067,FAYETTE,134058,0,0,134058
2020,Agency for International Development,22,LOUISIANA,22071,ORLEANS,652550,0,0,652550
2020,Agency for International Development,24,MARYLAND,24003,ANNE ARUNDEL,4959430,0,0,4959430
2020,Agency for International Development,24,MARYLAND,24005,BALTIMORE,43020,0,0,43020
2020,Agency for International Development,24,MARYLAND,24027,HOWARD,2550059,0,0,2550059
2020,Agency for International Development,24,MARYLAND,24031,MONTGOMERY,152820670,22389453,0,175210128
2020,Agency for International Development,24,MARYLAND,24033,PRINCE GEORGES,2389030,0,0,2389030
2020,Agency for International Development,24,MARYLAND,24510,BALTIMORE CITY,579401,87431439,0,88010840
2020,Agency for International Development,25,MASSACHUSETTS,25017,MIDDLESEX,52980111,10393229,0,63373340
2020,Agency for International Development,25,MASSACHUSETTS,25023,PLYMOUTH,0,0,0,0
2020,Agency for International Development,25,MASSACHUSETTS,25025,SUFFOLK,0,5331452,0,5331452
2020,Agency for International Development,26,MICHIGAN,26065,INGHAM,0,4855755,0,4855755
2020,Agency for International Development,27,MINNESOTA,27053,HENNEPIN,0,0,0,0
2020,Agency for International Development,27,MINNESOTA,27123,RAMSEY,0,0,0,0
2020,Agency for International Development,29,MISSOURI,29189,ST. LOUIS,0,0,0,0
2020,Agency for International Development,33,NEW HAMPSHIRE,33019,SULLIVAN,12950,0,0,12950
2020,Agency for International Development,34,NEW JERSEY,34023,MIDDLESEX,0,0,0,0
2020,Agency for International Development,34,NEW JERSEY,34025,MONMOUTH,0,0,0,0
2020,Agency for International Development,34,NEW JERSEY,34027,MORRIS,11600,0,0,11600
2020,Agency for International Development,36,NEW YORK,36005,BRONX,0,0,0,0
2020,Agency for International Development,36,NEW YORK,36055,MONROE,165842,0,0,165842
2020,Agency for International Development,36,NEW YORK,36061,NEW YORK,2213332,8910158,2295741,13419231
2020,Agency for International Development,36,NEW YORK,36081,QUEENS,0,0,0,0
2020,Agency for International Development,36,NEW YORK,36109,TOMPKINS,0,5645762,0,5645762
2020,Agency for International Development,36,NEW YORK,36119,WESTCHESTER,0,0,0,0
2020,Agency for International Development,37,NORTH CAROLINA,37031,CARTERET,0,0,0,0
2020,Agency for International Development,37,NORTH CAROLINA,37063,DURHAM,6286209,15190725,0,21476934
2020,Agency for International Development,37,NORTH CAROLINA,37119,MECKLENBURG,22683017,0,0,22683016
2020,Agency for International Development,41,OREGON,41051,MULTNOMAH,18005,24573,0,42578
2020,Agency for International Development,41,OREGON,41067,WASHINGTON,0,0,0,0
2020,Agency for International Development,42,PENNSYLVANIA,42003,ALLEGHENY,0,0,0,0
2020,Agency for International Development,42,PENNSYLVANIA,42027,CENTRE,0,0,0,0
2020,Agency for International Development,42,PENNSYLVANIA,42101,PHILADELPHIA,85665,0,0,85665
2020,Agency for International Development,44,RHODE ISLAND,44009,WASHINGTON,28869359,4281896,0,33151254
2020,Agency for International Development,48,TEXAS,48041,BRAZOS,0,2874729,0,2874729
2020,Agency for International Development,48,TEXAS,48113,DALLAS,20508,0,0,20508
2020,Agency for International Development,48,TEXAS,48121,DENTON,16151,0,0,16151
2020,Agency for International Development,48,TEXAS,48141,EL PASO,0,0,0,0
2020,Agency for International Development,48,TEXAS,48201,HARRIS,0,0,0,0
2020,Agency for International Development,48,TEXAS,48303,LUBBOCK,0,4100000,0,4100000
2020,Agency for International Development,48,TEXAS,48491,WILLIAMSON,274593,0,0,274593
2020,Agency for International Development,49,UTAH,49049,UTAH,23136,0,0,23136
2020,Agency for International Development,50,VERMONT,50007,CHITTENDEN,15449157,0,0,15449157
2020,Agency for International Development,51,VIRGINIA,51003,ALBEMARLE,593180,0,0,593180
2020,Agency for International Development,51,VIRGINIA,51013,ARLINGTON,28367457,7155660,0,35523116
2020,Agency for International Development,51,VIRGINIA,51059,FAIRFAX,172372000,6811875,0,179183872
2020,Agency for International Development,51,VIRGINIA,51069,FREDERICK,1656801,0,0,1656801
2020,Agency for International Development,51,VIRGINIA,51087,HENRICO,0,531756,0,531756
