"Name","Total Population","Hispanic or Latino (of any race)","Not Hispanic or Latino (of any race)","Total (One Race; Not Hispanic or Latino)","White (One Race; Not Hispanic or Latino)","Black or African American (One Race; Not Hispanic or Latino)","American Indian and Alaska Native (One Race; Not Hispanic or Latino)","Asian (One Race; Not Hispanic or Latino)","Native Hawaiian and Other Pacific Islander (One Race; Not Hispanic or Latino)","Some Other Race (One Race; Not Hispanic or Latino)","Two or More Races (Not Hispanic or Latino)"
"Illinois","12,812,508","2,337,410","10,475,098","10,060,243","7,472,751","1,775,612","16,561","747,280","2,959","45,080","414,855"
"Adams County","65,737","1,287","64,450","61,701","58,389","2,464","92","500","33","223","2,749"
"Alexander County","5,240","82","5,158","4,922","3,274","1,612","22","6","0","8","236"
"Bond County","16,725","604","16,121","15,587","14,264","1,073","52","94","11","93","534"
"Boone County","53,448","12,880","40,568","38,759","36,689","1,171","72","637","9","181","1,809"
"Brown County","6,244","282","5,962","5,819","4,764","1,035","7","11","0","2","143"
"Bureau County","33,244","3,095","30,149","29,189","28,511","259","49","298","21","51","960"
"Calhoun County","4,437","64","4,373","4,241","4,217","7","4","7","0","6","132"
"Carroll County","15,702","757","14,945","14,545","13,743","676","49","40","5","32","400"
"Cass County","13,042","2,789","10,253","9,963","9,061","706","36","117","33","10","290"
"Champaign County","205,865","16,666","189,199","179,151","125,280","28,215","279","24,420","60","897","10,048"
"Christian County","34,032","1,094","32,938","31,905","31,226","380","59","179","1","60","1,033"
"Clark County","15,455","246","15,209","14,844","14,680","54","28","52","0","30","365"
"Clay County","13,288","223","13,065","12,639","12,481","30","33","77","0","18","426"
"Clinton County","36,899","1,387","35,512","34,338","32,845","1,140","80","175","5","93","1,174"
"Coles County","46,863","1,768","45,095","43,329","40,352","2,043","82","617","24","211","1,766"
"Cook County","5,275,541","1,382,778","3,892,763","3,756,689","2,135,243","1,185,601","5,655","408,691","961","20,538","136,074"
"Crawford County","18,679","447","18,232","17,692","16,941","608","36","76","2","29","540"
"Cumberland County","10,450","112","10,338","10,026","9,947","28","13","21","0","17","312"
"DeKalb County","100,420","13,597","86,823","82,705","71,249","8,730","119","2,280","29","298","4,118"
"De Witt County","15,516","510","15,006","14,569","14,370","108","19","40","16","16","437"
"Douglas County","19,740","1,565","18,175","17,658","17,420","67","28","103","6","34","517"
"DuPage County","932,877","144,291","788,586","759,015","591,441","44,201","873","118,982","219","3,299","29,571"
"Edgar County","16,866","225","16,641","16,188","16,005","82","17","51","0","33","453"
"Edwards County","6,245","63","6,182","6,054","5,994","16","8","21","4","11","128"
"Effingham County","34,668","872","33,796","32,845","32,361","151","36","246","6","45","951"
"Fayette County","21,488","657","20,831","20,384","19,425","780","80","67","1","31","447"
"Ford County","13,534","554","12,980","12,463","12,265","75","24","57","0","42","517"
"Franklin County","37,804","642","37,162","35,650","35,210","162","92","119","4","63","1,512"
"Fulton County","33,609","738","32,871","31,929","30,616","1,102","59","69","6","77","942"
"Gallatin County","4,946","53","4,893","4,739","4,683","25","5","23","0","3","154"
"Greene County","11,985","106","11,879","11,529","11,451","18","13","21","3","23","350"
"Grundy County","52,533","5,712","46,821","44,957","43,472","833","48","466","16","122","1,864"
"Hamilton County","7,993","96","7,897","7,639","7,574","36","16","12","0","1","258"
"Hancock County","17,620","318","17,302","16,800","16,599","73","38","57","4","29","502"
"Hardin County","3,649","65","3,584","3,408","3,374","11","0","17","2","4","176"
"Henderson County","6,387","112","6,275","6,113","6,060","29","5","14","5","0","162"
"Henry County","49,284","3,170","46,114","44,484","43,094","1,029","63","192","12","94","1,630"
"Iroquois County","27,077","2,085","24,992","23,999","23,602","212","38","99","0","48","993"
"Jackson County","52,974","2,837","50,137","47,441","37,513","7,503","114","2,048","24","239","2,696"
"Jasper County","9,287","84","9,203","9,013","8,934","22","19","15","4","19","190"
"Jefferson County","37,113","899","36,214","34,469","31,182","2,783","77","352","7","68","1,745"
"Jersey County","21,512","327","21,185","20,391","20,105","156","21","74","3","32","794"
"Jo Daviess County","22,035","856","21,179","20,653","20,354","114","31","96","6","52","526"
"Johnson County","13,308","552","12,756","12,368","10,895","1,419","20","18","4","12","388"
"Kane County","516,522","169,595","346,927","331,887","282,307","26,239","514","21,191","115","1,521","15,040"
"Kankakee County","107,502","12,520","94,982","90,635","73,591","15,417","173","1,069","13","372","4,347"
"Kendall County","131,869","27,127","104,742","99,622","84,690","9,693","117","4,625","10","487","5,120"
"Knox County","49,967","3,051","46,916","44,622","39,615","4,354","73","361","12","207","2,294"
"Lake County","714,342","171,962","542,380","518,975","408,349","47,240","909","58,901","312","3,264","23,405"
"LaSalle County","109,658","11,456","98,202","94,272","90,445","2,514","153","855","8","297","3,930"
"Lawrence County","15,280","514","14,766","14,276","12,777","1,393","12","58","7","29","490"
"Lee County","34,145","2,324","31,821","30,649","28,435","1,831","30","248","10","95","1,172"
"Livingston County","35,815","1,859","33,956","32,898","31,518","1,081","38","171","1","89","1,058"
"Logan County","27,987","818","27,169","26,249","24,452","1,494","48","178","1","76","920"
"McDonough County","27,238","962","26,276","25,246","23,062","1,498","47","560","6","73","1,030"
