"name","name_ascii","type","county_fips","state_id","state_name","lat","lng","population"
"Woodford","Woodford","County","17203","IL","Illinois","40.7883","-89.2113","38571"
"Winnebago","Winnebago","County","17201","IL","Illinois","42.3363","-89.1609","285471"
"Williamson","Williamson","County","17199","IL","Illinois","37.7303","-88.9299","67271"
"Will","Will","County","17197","IL","Illinois","41.445","-87.9786","696403"
"Whiteside","Whiteside","County","17195","IL","Illinois","41.7562","-89.9141","55932"
"White","White","County","17193","IL","Illinois","38.0875","-88.1796","13959"
"Wayne","Wayne","County","17191","IL","Illinois","38.4296","-88.4256","16250"
"Washington","Washington","County","17189","IL","Illinois","38.3522","-89.4105","13827"
"Warren","Warren","County","17187","IL","Illinois","40.8488","-90.615","16887"
"Wabash","Wabash","County","17185","IL","Illinois","38.4461","-87.8443","11414"
"Vermilion","Vermilion","County","17183","IL","Illinois","40.1834","-87.7328","74953"
"Union","Union","County","17181","IL","Illinois","37.4713","-89.2551","17259"
"Tazewell","Tazewell","County","17179","IL","Illinois","40.5075","-89.5134","131977"
"Stephenson","Stephenson","County","17177","IL","Illinois","42.3518","-89.6623","44817"
"Stark","Stark","County","17175","IL","Illinois","41.0934","-89.7975","5436"
"St. Clair","St. Clair","County","17163","IL","Illinois","38.4703","-89.9284","258597"
"Shelby","Shelby","County","17173","IL","Illinois","39.3911","-88.8055","21160"
"Scott","Scott","County","17171","IL","Illinois","39.6441","-90.4747","4923"
"Schuyler","Schuyler","County","17169","IL","Illinois","40.158","-90.6151","6953"
"Sangamon","Sangamon","County","17167","IL","Illinois","39.7582","-89.6589","196759"
"Saline","Saline","County","17165","IL","Illinois","37.7531","-88.5407","23869"
"Rock Island","Rock Island","County","17161","IL","Illinois","41.4673","-90.5674","144694"
"Richland","Richland","County","17159","IL","Illinois","38.7124","-88.0851","15876"
"Randolph","Randolph","County","17157","IL","Illinois","38.0521","-89.8252","30632"
"Putnam","Putnam","County","17155","IL","Illinois","41.2045","-89.2858","5638"
"Pulaski","Pulaski","County","17153","IL","Illinois","37.2232","-89.1266","5279"
"Pope","Pope","County","17151","IL","Illinois","37.4127","-88.5615","3820"
"Pike","Pike","County","17149","IL","Illinois","39.6225","-90.8863","14923"
