"zip","city","county","population"
60629,"Chicago","Cook County",108324
60618,"Chicago","Cook County",91901
60632,"Chicago","Cook County",89107
60647,"Chicago","Cook County",84749
60639,"Chicago","Cook County",84240
60804,"Cicero","Cook County",82797
60623,"Chicago","Cook County",81277
60608,"Chicago","Cook County",80737
60625,"Chicago","Cook County",76760
60617,"Chicago","Cook County",74790
60634,"Chicago","Cook County",73885
60085,"Waukegan","Lake County",72341
60657,"Chicago","Cook County",71904
60614,"Chicago","Cook County",70693
60641,"Chicago","Cook County",68894
60640,"Chicago","Cook County",65445
60620,"Chicago","Cook County",64871
60402,"Berwyn","Cook County",63721
60651,"Chicago","Cook County",63335
60073,"Round Lake","Lake County",62868
60609,"Chicago","Cook County",62028
60016,"Des Plaines","Cook County",60898
60628,"Chicago","Cook County",60431
60619,"Chicago","Cook County",59503
60505,"Aurora","Kane County",57199
60638,"Chicago","Cook County",57074
60453,"Oak Lawn","Cook County",56861
60056,"Mount Prospect","Cook County",55818
60630,"Chicago","Cook County",55486
60622,"Chicago","Cook County",54609
60616,"Chicago","Cook County",54308
61761,"Normal","McLean County",54075
60637,"Chicago","Cook County",52721
60148,"Lombard","DuPage County",52596
60613,"Chicago","Cook County",52244
60411,"Chicago Heights","Cook County",52175
60440,"Bolingbrook","Will County",51940
60004,"Arlington Heights","Cook County",51835
60120,"Elgin","Cook County",51225
60506,"Aurora","Kane County",50038
60626,"Chicago","Cook County",49662
60014,"Crystal Lake","McHenry County",48590
60123,"Elgin","Kane County",48379
60645,"Chicago","Cook County",48208
60435,"Joliet","Will County",48167
60649,"Chicago","Cook County",48056
60586,"Plainfield","Will County",47834
60126,"Elmhurst","DuPage County",47516
60644,"Chicago","Cook County",47210
60564,"Naperville","Will County",47016
60643,"Chicago","Cook County",45942
60010,"Barrington","Cook County",45747
60610,"Chicago","Cook County",44883
60047,"Lake Zurich","Lake County",44240
61265,"Moline","Rock Island County",43748
60201,"Evanston","Cook County",43744
60543,"Oswego","Kendall County",43047
60615,"Chicago","Cook County",42975
60089,"Buffalo Grove","Lake County",42872
60660,"Chicago","Cook County",42724
60115,"Dekalb","DeKalb County",42536
60188,"Carol Stream","DuPage County",42307
60540,"Naperville","DuPage County",42252
60659,"Chicago","Cook County",41728
60025,"Glenview","Cook County",41689
60446,"Romeoville","Will County",41672
60462,"Orland Park","Cook County",41456
60062,"Northbrook","Cook County",41406
60103,"Bartlett","DuPage County",41382
60707,"Elmwood Park","Cook County",41116
60652,"Chicago","Cook County",41074
61820,"Champaign","Champaign County",40599
61554,"Pekin","Tazewell County",40577
60565,"Naperville","DuPage County",40483
62040,"Granite City","Madison County",40404
60193,"Schaumburg","Cook County",40146
62704,"Springfield","Sangamon County",40046
60504,"Aurora","DuPage County",39358
60563,"Naperville","DuPage County",39330
60107,"Streamwood","Cook County",38886
60137,"Glen Ellyn","DuPage County",38696
60068,"Park Ridge","Cook County",38650
60110,"Carpentersville","Kane County",38558
60090,"Wheeling","Cook County",38298
60067,"Palatine","Cook County",38204
60611,"Chicago","Cook County",37705
60101,"Addison","DuPage County",37448
60451,"New Lenox","Will County",37361
60060,"Mundelein","Lake County",37344
61704,"Bloomington","McLean County",37279
60031,"Gurnee","Lake County",37107
60441,"Lockport","Will County",36844
61201,"Rock Island","Rock Island County",36766
60133,"Hanover Park","DuPage County",36732
60074,"Palatine","Cook County",36460
60605,"Chicago","Cook County",36210
60477,"Tinley Park","Cook County",35976
62269,"O'Fallon","St. Clair County",35923
60030,"Grayslake","Lake County",35792
60612,"Chicago","Cook County",35744
62025,"Edwardsville","Madison County",35520
60624,"Chicago","Cook County",35263
61701,"Bloomington","McLean County",35136
60409,"Calumet City","Cook County",35100
60046,"Lake Villa","Lake County",34613
60185,"West Chicago","DuPage County",33703
61008,"Belvidere","Boone County",33582
60169,"Hoffman Estates","Cook County",33401
60653,"Chicago","Cook County",33383
60517,"Woodridge","DuPage County",33156
60098,"Woodstock","McHenry County",33130
60901,"Kankakee","Kankakee County",33128
60076,"Skokie","Cook County",32953
60302,"Oak Park","Cook County",32862
60139,"Glendale Heights","DuPage County",32848
60423,"Frankfort","Will County",32836
62521,"Decatur","Macon County",32665
60007,"Elk Grove Village","Cook County",32592
61832,"Danville","Vermilion County",32450
60607,"Chicago","Cook County",32392
60202,"Evanston","Cook County",32341
60102,"Algonquin","McHenry County",32286
60636,"Chicago","Cook County",32198
60050,"Mchenry","McHenry County",31781
62234,"Collinsville","Madison County",31648
60174,"Saint Charles","Kane County",31402
60525,"La Grange","Cook County",31324
60189,"Wheaton","DuPage County",31042
62702,"Springfield","Sangamon County",31033
60631,"Chicago","Cook County",30924
60099,"Zion","Lake County",30881
61107,"Rockford","Winnebago County",30765
62301,"Quincy","Adams County",30746
61401,"Galesburg","Knox County",30580
60538,"Montgomery","Kendall County",30514
62526,"Decatur","Macon County",30483
60035,"Highland Park","Lake County",30398
61108,"Rockford","Winnebago County",30355
60181,"Villa Park","DuPage County",30346
60714,"Niles","Cook County",30305
62221,"Belleville","St. Clair County",29875
60515,"Downers Grove","DuPage County",29762
60134,"Geneva","Kane County",29743
60142,"Huntley","McHenry County",29692
62002,"Alton","Madison County",29543
60656,"Chicago","Cook County",29538
60048,"Libertyville","Lake County",29124
60510,"Batavia","Kane County",29038
60527,"Willowbrook","DuPage County",29028
61032,"Freeport","Stephenson County",29020
62703,"Springfield","Sangamon County",28922
60005,"Arlington Heights","Cook County",28843
60187,"Wheaton","DuPage County",28815
60438,"Lansing","Cook County",28806
60156,"Lake In The Hills","McHenry County",28800
60560,"Yorkville","Kendall County",28795
60646,"Chicago","Cook County",28780
60459,"Burbank","Cook County",28739
60914,"Bourbonnais","Kankakee County",28673
61821,"Champaign","Champaign County",28611
60532,"Lisle","DuPage County",28547
60077,"Skokie","Cook County",28501
60655,"Chicago","Cook County",28434
61604,"Peoria","Peoria County",28313
60621,"Chicago","Cook County",28301
62226,"Belleville","St. Clair County",28255
60015,"Deerfield","Lake County",28096
60516,"Downers Grove","DuPage County",28062
60061,"Vernon Hills","Lake County",27974
60018,"Des Plaines","Cook County",27952
61801,"Urbana","Champaign County",27891
62959,"Marion","Williamson County",27793
61822,"Champaign","Champaign County",27642
61614,"Peoria","Peoria County",27370
60091,"Wilmette","Cook County",27333
60544,"Plainfield","Will County",27306
60087,"Waukegan","Lake County",27293
60431,"Joliet","Will County",27138
61109,"Rockford","Winnebago County",26768
60452,"Oak Forest","Cook County",26739
60013,"Cary","McHenry County",26694
60487,"Tinley Park","Cook County",26043
60585,"Plainfield","Will County",25960
60654,"Chicago","Cook County",25755
60175,"Saint Charles","Kane County",25553
62650,"Jacksonville","Morgan County",24821
60827,"Riverdale","Cook County",24713
60051,"Mchenry","McHenry County",24621
60053,"Morton Grove","Cook County",24619
60160,"Melrose Park","Cook County",24549
60124,"Elgin","Kane County",24487
61571,"Washington","Tazewell County",24470
60177,"South Elgin","Kane County",24416
60448,"Mokena","Will County",24405
60467,"Orland Park","Cook County",24398
60706,"Harwood Heights","Cook County",24260
60002,"Antioch","Lake County",24232
60559,"Westmont","DuPage County",24231
60439,"Lemont","Cook County",24192
60172,"Roselle","DuPage County",24141
61611,"East Peoria","Tazewell County",24040
60426,"Harvey","Cook County",23906
61350,"Ottawa","LaSalle County",23713
60108,"Bloomingdale","DuPage County",23604
61615,"Peoria","Peoria County",23523
60406,"Blue Island","Cook County",23327
60502,"Aurora","DuPage County",23308
61244,"East Moline","Rock Island County",23308
61111,"Loves Park","Winnebago County",23286
60153,"Maywood","Cook County",23201
60561,"Darien","DuPage County",23069
62901,"Carbondale","Jackson County",22946
61103,"Rockford","Winnebago County",22869
60008,"Rolling Meadows","Cook County",22800
62864,"Mount Vernon","Jefferson County",22779
60491,"Homer Glen","Will County",22757
60140,"Hampshire","Kane County",22689
61115,"Machesney Park","Winnebago County",22364
61021,"Dixon","Lee County",22308
60178,"Sycamore","DeKalb County",22224
60490,"Bolingbrook","Will County",22156
60803,"Alsip","Cook County",22106
60642,"Chicago","Cook County",21789
60466,"Park Forest","Cook County",21461
60473,"South Holland","Cook County",21225
60045,"Lake Forest","Lake County",21074
61920,"Charleston","Coles County",20951
60164,"Melrose Park","Cook County",20872
61081,"Sterling","Whiteside County",20844
60419,"Dolton","Cook County",20825
60450,"Morris","Grundy County",20783
60443,"Matteson","Cook County",20663
60432,"Joliet","Will County",20465
60404,"Shorewood","Will County",20385
61938,"Mattoon","Coles County",20350
61802,"Urbana","Champaign County",20293
61073,"Roscoe","Winnebago County",20194
60106,"Bensenville","DuPage County",20045
60093,"Winnetka","Cook County",19867
60430,"Homewood","Cook County",19838
62801,"Centralia","Marion County",19827
60194,"Schaumburg","Cook County",19756
60436,"Joliet","Will County",19423
60805,"Evergreen Park","Cook County",19420
60513,"Brookfield","Cook County",19343
61101,"Rockford","Winnebago County",19318
62401,"Effingham","Effingham County",19273
62220,"Belleville","St. Clair County",19152
62305,"Quincy","Adams County",19036
