"month","race","stops"
"Jan","American Indian",282
"Feb","American Indian",201
"Mar","American Indian",207
"Apr","American Indian",160
"May","American Indian",117
"Jun","American Indian",127
"Jul","American Indian",145
"Aug","American Indian",129
"Sep","American Indian",144
"Oct","American Indian",164
"Nov","American Indian",156
"Dec","American Indian",165
"Jan","Asian",2013
"Feb","Asian",1481
"Mar","Asian",1495
"Apr","Asian",1215
"May","Asian",1220
"Jun","Asian",886
"Jul","Asian",1010
"Aug","Asian",915
"Sep","Asian",873
"Oct","Asian",1013
"Nov","Asian",1027
"Dec","Asian",991
"Jan","Black",21017
"Feb","Black",16072
"Mar","Black",14452
"Apr","Black",11096
"May","Black",10254
"Jun","Black",8409
"Jul","Black",9844
"Aug","Black",7526
"Sep","Black",7716
"Oct","Black",8740
"Nov","Black",8090
"Dec","Black",7717
"Jan","Hispanic",15975
"Feb","Hispanic",11679
"Mar","Hispanic",11320
"Apr","Hispanic",8200
"May","Hispanic",7429
"Jun","Hispanic",6398
"Jul","Hispanic",7363
"Aug","Hispanic",6263
"Sep","Hispanic",6922
"Oct","Hispanic",7145
"Nov","Hispanic",7053
"Dec","Hispanic",6142
"Jan","NHPI",122
"Feb","NHPI",95
"Mar","NHPI",92
"Apr","NHPI",77
"May","NHPI",61
"Jun","NHPI",61
"Jul","NHPI",79
"Aug","NHPI",68
"Sep","NHPI",58
"Oct","NHPI",42
"Nov","NHPI",71
"Dec","NHPI",55
"Jan","White",7091
"Feb","White",5540
"Mar","White",4849
"Apr","White",3642
"May","White",3681
"Jun","White",2598
"Jul","White",2879
"Aug","White",2660
"Sep","White",2473
"Oct","White",2644
"Nov","White",2728
"Dec","White",2517
